session_id,start_time,end_time,start_ts,end_ts,duration,keypresses
149,2020-08-13T10:06:20.109000000,2020-08-13T10:06:45.421000000,2020-08-13T10:06:20.109000000,2020-08-13T10:06:45.421000000,25312000000 nanoseconds,82
150,2020-08-13T10:10:46.766000000,2020-08-13T10:12:44.171000000,2020-08-13T10:10:46.766000000,2020-08-13T10:12:44.171000000,117405000000 nanoseconds,115
151,2020-08-13T10:14:54.845000000,2020-08-13T10:15:07.249000000,2020-08-13T10:14:54.845000000,2020-08-13T10:15:07.249000000,12404000000 nanoseconds,35
152,2020-08-13T10:46:54.838000000,2020-08-13T10:49:05.502000000,2020-08-13T10:46:54.838000000,2020-08-13T10:49:05.502000000,130664000000 nanoseconds,221
153,2020-08-13T10:50:58.190000000,2020-08-13T10:56:01.890000000,2020-08-13T10:50:58.190000000,2020-08-13T10:56:01.890000000,303700000000 nanoseconds,522
154,2020-08-13T11:00:42.877000000,2020-08-13T11:00:59.420000000,2020-08-13T11:00:42.877000000,2020-08-13T11:00:59.420000000,16543000000 nanoseconds,26
155,2020-08-13T11:14:25.943000000,2020-08-13T11:14:26.897000000,2020-08-13T11:14:25.943000000,2020-08-13T11:14:26.897000000,954000000 nanoseconds,6
156,2020-08-13T11:17:20.518000000,2020-08-13T11:18:26.424000000,2020-08-13T11:17:20.518000000,2020-08-13T11:18:26.424000000,65906000000 nanoseconds,210
157,2020-08-13T11:40:57.243000000,2020-08-13T11:41:56.814000000,2020-08-13T11:40:57.243000000,2020-08-13T11:41:56.814000000,59571000000 nanoseconds,185
158,2020-08-13T11:52:03.428000000,2020-08-13T11:52:25.866000000,2020-08-13T11:52:03.428000000,2020-08-13T11:52:25.866000000,22438000000 nanoseconds,61
159,2020-08-13T11:54:17.050000000,2020-08-13T11:54:20.622000000,2020-08-13T11:54:17.050000000,2020-08-13T11:54:20.622000000,3572000000 nanoseconds,12
160,2020-08-13T11:56:46.134000000,2020-08-13T11:56:51.922000000,2020-08-13T11:56:46.134000000,2020-08-13T11:56:51.922000000,5788000000 nanoseconds,13
161,2020-08-13T11:59:01.604000000,2020-08-13T11:59:12.483000000,2020-08-13T11:59:01.604000000,2020-08-13T11:59:12.483000000,10879000000 nanoseconds,12
162,2020-08-13T12:11:33.826000000,2020-08-13T12:12:42.501000000,2020-08-13T12:11:33.826000000,2020-08-13T12:12:42.501000000,68675000000 nanoseconds,23
163,2020-08-13T12:22:23.575000000,2020-08-13T12:22:32.560000000,2020-08-13T12:22:23.575000000,2020-08-13T12:22:32.560000000,8985000000 nanoseconds,19
